20.0,1.10,0.21,1.01,0.22,0.78
20.0,1.10,0.26,0.32,0.09,0.91
20.0,1.16,1.18,0.34,0.23,0.77
20.0,1.23,0.19,0.00,0.75,0.25
20.0,1.24,0.10,0.04,0.29,0.71
20.0,1.24,0.64,0.26,0.83,0.17
20.0,1.28,0.14,0.74,0.18,0.82
20.0,1.32,0.17,1.09,0.10,0.90
20.0,1.33,0.15,1.28,0.35,0.65
20.0,1.33,0.76,0.19,0.88,0.12
20.0,1.34,0.03,0.00,0.00,1.00
20.0,1.38,0.32,0.41,0.12,0.88
20.0,1.39,0.07,0.27,0.33,0.68
20.0,1.39,0.08,0.52,0.39,0.61
20.0,1.43,0.23,1.09,0.10,0.90
20.0,1.46,0.14,0.27,0.58,0.42
20.0,1.49,0.10,0.68,0.25,0.75
20.0,1.49,0.29,0.06,0.33,0.67
20.0,1.49,0.32,0.02,0.29,0.71
20.0,1.52,0.34,0.00,0.98,0.02
20.0,1.57,0.18,0.25,0.31,0.69
20.0,1.57,0.20,1.20,0.17,0.83
20.0,1.58,0.07,0.26,0.33,0.67
20.0,1.59,0.09,0.17,0.20,0.80
20.0,1.59,0.36,0.00,0.35,0.65
20.0,1.60,0.02,0.77,0.14,0.86
20.0,1.60,0.10,0.25,0.31,0.69
20.0,1.61,0.16,0.43,0.39,0.61
20.0,1.62,0.16,0.00,0.04,0.96
20.0,1.63,0.42,0.56,0.68,0.32
20.0,1.64,0.37,0.00,0.35,0.65
20.0,1.65,0.18,0.79,0.39,0.61
20.0,1.65,0.37,0.00,0.35,0.65
20.0,1.66,0.08,0.00,0.01,1.00
20.0,1.66,0.44,0.57,0.69,0.31
20.0,1.70,0.06,0.52,0.26,0.74
20.0,1.70,0.18,0.19,0.19,0.81
20.0,1.72,0.37,1.05,0.28,0.72
20.0,1.74,0.10,0.27,0.22,0.78
20.0,1.74,0.14,0.27,0.09,0.91
20.0,1.76,0.29,0.64,0.16,0.84
20.0,1.77,0.24,0.43,0.52,0.48
20.0,1.78,0.23,0.23,0.20,0.80
20.0,1.79,0.08,0.63,0.32,0.68
20.0,1.80,0.06,0.63,0.32,0.68
20.0,1.81,0.06,0.63,0.32,0.68
20.0,1.81,0.32,0.24,0.23,0.77
20.0,1.83,0.13,0.00,0.63,0.37
20.0,1.83,0.20,1.50,0.00,1.00
20.0,1.83,0.30,0.04,0.34,0.66
20.0,1.83,0.48,0.54,0.28,0.72
20.0,1.84,0.20,0.41,0.38,0.62
20.0,1.84,0.41,0.85,0.73,0.27
20.0,1.84,0.46,0.77,0.76,0.24
20.0,1.87,0.20,0.64,0.32,0.68
20.0,1.87,0.30,0.00,0.00,1.00
20.0,1.88,0.24,0.48,0.28,0.72
20.0,1.89,0.07,0.42,0.48,0.52
20.0,1.89,0.19,0.45,0.15,0.85
20.0,1.90,0.20,0.48,0.39,0.61
