"ave_orton_cone_id","SiO2","Al2O3","B2O3","Li2O","MgO","CaO","SrO","BaO","ZnO","P2O5","MnO2","Fe2O3","TiO2"
20,53,7,11,0,6,8,0,0,0,1,0,2,3
20,54,10,16,0,0,13,0,0,0,0,0,0,0
20,54,17,9,1,2,8,0,0,0,0,0,0,0
20,54,2,9,9,2,21,0,0,0,0,0,0,0
20,54,3,9,6,0,23,0,0,0,0,0,0,0
20,54,6,12,0,0,15,1,0,0,0,0,1,0
20,54,6,12,0,1,17,0,0,0,0,0,0,0
20,54,7,10,5,0,8,0,0,3,0,0,0,4
20,54,7,14,0,0,13,0,0,0,0,0,0,0
20,54,7,14,0,3,13,0,0,0,0,0,0,0
20,54,7,14,4,3,13,0,0,0,0,0,0,3
20,54,7,7,0,0,16,0,5,3,0,0,0,0
20,54,8,11,0,2,14,0,0,6,0,0,0,0
20,54,8,11,0,2,14,1,0,0,0,0,1,0
20,54,8,11,4,2,11,0,0,0,0,0,0,0
20,54,8,12,3,0,16,0,0,0,0,0,0,0
20,54,8,15,0,0,13,0,0,0,0,0,0,4
20,54,9,12,5,0,13,0,0,0,0,0,0,0
20,54,9,16,0,0,10,0,0,0,0,0,0,1
20,54,9,7,0,1,17,0,0,5,0,0,0,0
20,55,2,12,7,0,13,0,0,0,0,0,0,2
20,55,4,13,0,1,12,1,0,0,0,0,2,0
20,55,4,8,0,0,25,0,0,0,0,0,0,0
20,55,5,14,0,2,16,0,0,2,0,0,0,2
20,55,6,15,0,0,16,0,0,0,0,0,0,0
20,55,6,6,0,1,15,0,6,4,0,0,0,0
20,55,7,11,0,1,17,0,0,0,0,0,0,5
20,55,8,10,5,0,11,0,0,0,0,0,0,5
20,55,8,11,0,2,14,1,0,0,0,0,0,0
20,55,8,11,4,2,12,0,0,0,0,0,0,0
20,55,8,15,0,0,12,0,0,0,0,0,0,0
20,55,8,9,0,4,15,0,0,4,0,0,0,0
20,55,9,1,0,10,9,0,0,0,3,0,2,0
20,55,9,12,6,0,13,0,0,0,0,0,0,0
20,55,9,18,0,0,11,0,0,0,0,0,0,0
20,56,1,0,0,1,20,0,0,0,0,0,0,0
20,56,3,0,0,0,7,0,0,0,0,2,2,0
20,56,3,19,4,0,13,0,0,0,0,0,0,0
20,56,3,3,0,0,0,0,0,0,0,0,0,5
20,56,4,2,0,0,22,0,0,0,4,0,0,0
20,56,6,13,0,0,14,0,0,0,0,0,0,0
20,56,6,13,2,2,13,0,0,0,0,0,0,0
20,56,7,13,0,0,13,0,0,0,0,0,0,0
20,56,7,9,0,0,16,0,0,0,0,0,0,0
20,56,7,9,0,0,17,0,0,0,0,0,0,0
20,56,8,11,0,4,13,0,0,0,0,0,1,0
20,56,8,8,0,1,10,4,0,5,0,0,0,0
20,56,9,10,0,2,13,1,0,0,0,0,0,0
20,56,9,18,0,0,11,0,0,0,0,0,0,0
20,57,10,13,0,0,8,0,0,0,0,0,0,0
20,57,10,17,0,1,10,0,0,0,0,0,0,0
20,57,11,9,0,0,11,0,0,0,0,0,0,0
20,57,4,4,0,1,6,0,0,0,0,6,2,0
20,57,4,4,0,1,6,0,0,0,0,7,0,0
20,57,5,12,0,2,12,0,0,2,0,0,0,0
20,57,5,12,0,3,11,0,6,0,0,0,0,0
20,57,5,13,5,0,8,0,7,0,0,0,0,0
20,57,6,11,0,0,12,0,0,0,0,0,0,3
20,57,6,11,2,0,12,0,0,0,0,0,0,3
20,57,6,13,0,0,14,0,0,0,0,0,0,0
20,57,6,15,0,0,17,0,0,0,0,0,0,0
20,57,7,11,0,0,13,0,0,0,0,0,0,0
20,57,7,12,0,4,11,0,0,0,0,0,0,0
20,57,8,10,0,0,12,0,1,0,0,0,0,0
20,57,8,10,0,0,13,0,0,0,0,0,0,3
20,57,8,10,3,1,11,0,0,0,0,0,0,0
20,57,8,11,0,0,14,2,0,0,0,0,1,0
20,57,8,11,4,2,11,0,0,0,0,0,0,0
20,57,8,12,0,0,15,0,0,0,0,0,0,0
20,57,8,12,0,2,8,0,0,0,0,0,1,3
20,57,8,9,0,2,13,0,0,4,0,0,0,0
20,57,9,11,4,2,11,0,0,0,0,0,0,0
20,57,9,14,0,2,11,0,0,0,0,0,0,0
20,57,9,7,0,3,10,0,0,0,2,0,1,0
20,57,9,9,0,9,6,0,0,1,0,0,0,0
20,58,10,10,0,0,13,0,1,0,0,0,0,0
20,58,10,17,0,0,10,0,0,0,0,0,0,0
20,58,11,7,7,0,10,0,0,0,0,0,0,0
20,58,2,10,9,2,9,0,0,0,0,0,0,2
20,58,2,12,8,0,12,0,0,0,0,0,0,3
20,58,2,9,9,2,9,0,0,0,0,0,4,0
20,58,3,11,0,0,13,4,0,0,0,0,0,0
20,58,5,12,0,0,17,0,0,0,0,0,0,0
20,58,6,0,0,0,0,0,0,16,0,0,0,0
20,58,6,10,0,6,13,0,0,0,0,0,0,0
20,58,6,11,0,0,14,0,0,0,0,0,0,0
20,58,6,13,0,0,15,0,0,0,0,0,0,0
20,58,7,10,0,0,17,0,0,0,0,0,0,0
20,58,7,11,0,0,14,0,0,0,0,0,0,0
20,58,7,11,1,0,14,0,0,1,0,0,0,1
20,58,7,13,0,5,11,0,0,0,0,0,0,0
20,58,7,8,0,0,16,1,0,0,0,0,0,0
20,58,7,8,0,0,17,0,0,0,0,0,0,0
20,58,7,9,2,1,10,0,0,0,0,0,0,4
20,58,8,10,0,0,13,0,1,0,0,0,0,0
20,58,8,10,0,0,13,1,0,0,0,0,0,0
20,58,8,11,0,0,14,0,1,0,0,0,1,0
20,58,8,11,0,0,15,1,0,0,0,0,0,0
20,58,8,8,0,0,16,1,0,0,0,0,0,0
20,58,9,10,3,0,13,0,0,0,0,0,0,0
20,58,9,13,0,2,11,0,0,0,0,0,0,0
