id,name,material_type_concatenated,surface_type,transparency_type,from_orton_cone,to_orton_cone,SiO2_percent_mol,Al2O3_percent_mol,B2O3_percent_mol,Li2O_percent_mol,K2O_percent_mol,Na2O_percent_mol,KNaO_percent_mol,BeO_percent_mol,MgO_percent_mol,CaO_percent_mol,SrO_percent_mol,BaO_percent_mol,ZnO_percent_mol,PbO_percent_mol,P2O5_percent_mol,F_percent_mol,V2O5_percent_mol,Cr2O3_percent_mol,MnO_percent_mol,MnO2_percent_mol,FeO_percent_mol,Fe2O3_percent_mol,CoO_percent_mol,NiO_percent_mol,CuO_percent_mol,Cu2O_percent_mol,CdO_percent_mol,TiO2_percent_mol,ZrO_percent_mol,ZrO2_percent_mol,SnO2_percent_mol
51523,Lithium Base,Glaze,,,,,66.6642,19.4108,0,10.4523,1.7963,0.7927,2.5889,0,0.118,0.2337,0,0,0,0,0.0843,0,0,0,0,0,0,0.2287,0,0,0,0,0,0.2191,0,0,0
51524,12F Whiting,Glaze,,,,,73.3538,9.427,0,0,5.1016,1.9795,7.081,0,0.2015,9.8843,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.0024,0,0,0
51525,Dolomite Base,Glaze,,,,,58.1926,16.9465,0,0,1.568,0.6919,2.2599,0,11.0177,11.1187,0,0,0,0,0.0736,0,0,0,0,0,0,0.1997,0,0,0,0,0,0.1913,0,0,0
51567,Rutile Green (JB Titanium Green High Fire Glazes),Green - Titanium,Glossy,,10,11,60.1245,8.0874,0,0,3.627,0,3.627,0,5.7807,13.2549,0,0,0,0,0,0,0,0,0,0,0,0.3337,0,0,2.7238,0,0,6.068,0,0,0
51651,Ovo June Perry Purple,Purple,Glossy,Opaque,5 &#189;,6,61.0113,5.8301,5.6919,0,1.082,2.4289,3.5108,0,1.3738,19.9393,0,0,0,0,0.0246,0,0,0.1158,0,0,0,0.1109,0,0,0,0,0,0.0554,0,0,2.336
51652,oribe AAA,Glaze,Glossy,Translucent,5 &#189;,6,60.0913,8.4319,3.6276,0,4.4066,0.6599,5.0665,0,0.5707,17.8594,0.0409,0,0,0,0,0,0,0,0,0,0,0.0195,0,0,4.2921,0,0,0,0,0,0
51658,DH 6,Glaze,,,8,8,68.9497,6.3753,0,0,6.3734,0,6.3734,0,3.8574,10.9566,0,0,3.4876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51668,DH 7,"White, Off-White",Glossy,Semi-opaque,8,8,62.7689,11.4751,0,0,4.9768,0,4.9768,0,0,9.7387,0,0,11.0406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51669,DH 8,Clear,Glossy,Transparent,8,8,67.6135,8.8428,0,0,1.3107,1.5273,2.838,0,0.1005,11.6981,0,0,8.8182,0,0,0,0,0,0,0,0,0.0348,0,0,0,0,0,0.0541,0,0,0
51670,naranja,Glaze,Glossy,Translucent,6,8,69.2221,9.8361,0,0,1.4574,4.718,6.1754,0,0.1564,5.6932,0,0,8.147,0,0,0,0,0.0873,0,0,0,0.6825,0,0,0,0,0,0,0,0,0
51677,DH 4,Glaze,,,8,8,57.1103,13.8346,3.391,0,3.179,4.266,7.445,0,4.6338,12.2678,0,0,0,0,1.2729,0,0,0,0,0,0,0.0447,0,0,0,0,0,0,0,0,0
51693,12.14 atelier,Glaze,,,6,6,63.9335,8.2784,5.4138,0,0,6.7486,6.7486,0,0,15.6256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51700,Titanium Green,Glaze,Matte - Semi,Opaque,9,10,60.6955,12.2357,0,3.3337,0.628,1.7552,2.3832,0,1.1829,13.542,0,0,0,0,0.0493,0,0,0,0,0,0,0.1333,1.8139,0,0,0,0,4.6304,0,0,0
51736,StrawAsh,Ash,Matte - Semi,,8,10,55.9685,14.7862,0,0,0.5426,4.2738,4.8164,0,3.0311,15.4008,0,0,0,0,0.1227,0,0,0,0.1345,0,0,0.4441,0,0,0,0,0,5.2958,0,0,0
51748,Tove AA7C1LG,Crystalline,Glossy,Opaque,6,6,55.2927,4.2802,0,0.8921,1.342,2.3309,3.6729,0,0,8.5094,0,0,22.5093,0,0,0,0,0,0,0,0,0.2292,0,0,0.9267,0,0,3.6875,0,0,0
51749,Tove AA7C1L,Crystalline,Glossy,Opaque,6,6,55.8099,4.3203,0,0.9004,1.3545,2.3527,3.7073,0,0,8.589,0,0,22.7199,0,0,0,0,0,0,0,0,0.2313,0,0,0,0,0,3.7219,0,0,0
